en_key,lang_key,ref,type,co2,classification,attribute,variety
plum,prugna,prugna,vegan,0.22,conventional,fresh,
burger bun,panini hamburger,panini hamburger,vegetarian,0.61,conventional,fresh,
anise,anice,anice,vegan,4.526,conventional,fresh,
baking powder,lievito in polvere,lievito in polvere,vegan,1.504,conventional,fresh,
baking soda,bicarbonato di sodio,bicarbonato di sodio,vegan,1.249,conventional,fresh,
lemon balm,melissa,melissa,vegan,0.602,conventional,fresh,
balsamic vinegar,aceto balsamico,aceto balsamico,vegan,1.474,conventional,fresh,
barbecue sauce,salsa bbq,salsa bbq,meat,0.983,conventional,fresh,
bay leaf,alloro,alloro,vegan,0.602,conventional,fresh,
cardamom,cardamomo,cardamomo,vegan,0.652,conventional,fresh,
chervil,cerfoglio,cerfoglio,vegan,0.356,conventional,fresh,
chia seeds,semi di chia,semi di chia,vegan,0.92,conventional,fresh,
chili,chili,chili,vegan,0.681,conventional,fresh,
cinnamon,cannella,cannella,vegan,0.643,conventional,fresh,
clove,chiodo di garofano,chiodo di garofano,vegan,0.492,conventional,fresh,
cilantro,coriandolo,coriandolo,vegan,0.656,conventional,fresh,
cumin,cumino,cumino,vegan,0.652,conventional,fresh,
turmeric,curcuma,curcuma,vegan,0.652,conventional,fresh,
curry,curry,curry,vegan,0.652,conventional,fresh,
dill,aneto,aneto,vegan,0.682,conventional,fresh,
fish sauce,salsa di pesce,salsa di pesce,meat,2.388,conventional,fresh,
gelatin,gelatina,gelatina,vegetarian,0.652,conventional,fresh,
ginger,zenzero,zenzero,vegan,1.226,conventional,fresh,
herbs,erbe,erbe,vegan,0.652,conventional,fresh,
ketchup,ketchup,ketchup,vegan,1.352,conventional,fresh,
lemon grass,citronella,citronella,vegan,4.562,conventional,fresh,
macadamia,macadamia,macadamia,vegan,2.678,conventional,fresh,
marjoram,maggiorana,maggiorana,vegan,0.602,conventional,fresh,
mayonnaise,maionese,maionese,vegetarian,1.914,conventional,fresh,
caraway,cumino,cumino,vegan,0.642,conventional,fresh,
mustard,senape,senape,vegan,1.108,conventional,fresh,
mustard seeds,semi di senape,semi di senape,vegan,4.784,conventional,fresh,
mustard leaves,foglie di senape,foglie di senape,vegan,4.784,conventional,fresh,
nutmeg,noce moscata,noce moscata,vegan,0.367,conventional,fresh,
sesame oil,olio di sesamo,olio di sesamo,vegan,3.019,conventional,fresh,
onion powder,cipolla in polvere,cipolla in polvere,vegan,4.072,conventional,fresh,
paprika,paprika,paprika,vegan,4.274,conventional,fresh,
parsley,prezzemolo,prezzemolo,vegan,0.682,conventional,fresh,
pecan,Pecan,Pecan,vegan,2.678,conventional,fresh,
pepper,pepe,pepe,vegan,5.314,conventional,fresh,
pine nut,pinoli,pinoli,vegan,2.518,conventional,fresh,
poppy seed,semi di papavero,semi di papavero,vegan,0.92,conventional,fresh,
saffron,zafferano,zafferano,vegan,0.692,conventional,fresh,
sage,salvia,salvia,vegan,0.682,conventional,fresh,
salt,sale,sale,vegan,0.584,conventional,fresh,
sea salt,sale marino,sale marino,vegan,0.384,conventional,fresh,
sesame,sesamo,sesamo,vegan,2.612,conventional,fresh,
soy sauce,salsa di soia,salsa di soia,vegan,1.344,conventional,fresh,
agave syrup,sciroppo d'agave,sciroppo d'agave,vegan,0.969,conventional,fresh,
tabasco sauce,salsa tabasco,salsa tabasco,vegan,4.274,conventional,fresh,
tarragon,dragoncello,dragoncello,vegan,0.602,conventional,fresh,
tomatoes paste,pasta di pomodoro,pasta di pomodoro,vegan,1.732,conventional,fresh,
vanilin,vaniglia,vaniglia,vegan,2.267,conventional,fresh,
vanilla extract,estratto di vaniglia,estratto di vaniglia,vegan,13.827,conventional,fresh,
apple vinegar,aceto di mele,aceto di mele,vegan,3.284,conventional,fresh,
red wine vinegar,aceto di vino rosso,aceto di vino rosso,vegetarian,1.474,conventional,fresh,
white wine vinegar,aceto di vino bianco,aceto di vino bianco,vegetarian,1.474,conventional,fresh,
vinegar,aceto,aceto,vegetarian,1.5,conventional,fresh,
wasabi,wasabi,wasabi,vegan,0.835,conventional,fresh,
yeast extract,estratto di lievito,estratto di lievito,vegan,2.194,conventional,fresh,
yeast,lievito,lievito,vegan,0.754,conventional,fresh,
beer,birra,birra,vegan,0.77,conventional,fresh,
brandy,brandy,brandy,vegan,2.07,conventional,fresh,
whiskey,whisky,whisky,vegan,2.07,conventional,fresh,
rum,rum,rum,vegan,2.07,conventional,fresh,
cognac,cognac,cognac,vegan,2.07,conventional,fresh,
liquor,liquore,liquore,vegan,2.07,conventional,fresh,
tawny port,Porto Tawny,Porto Tawny,vegetarian,2.38,conventional,fresh,
wine,vino,vino,vegan,2.16,conventional,fresh,
half fat margarine,margarina semigrassa,margarina semigrassa,vegetarian,1.15,conventional,fresh,
extravirgin olive oil,olio extravergine di oliva,olio extravergine di oliva,vegan,3.06,conventional,fresh,
olive oil,olio d'oliva,olio d'oliva,vegan,3.06,conventional,fresh,
sunflower oil,olio di semi di girasole,olio di semi di girasole,vegan,2.24,conventional,fresh,
vegan spreadable fat,grasso spalmabile vegano,grasso spalmabile vegano,vegan,1.67,conventional,fresh,
full fat margarine,margarina integrale,margarina integrale,vegetarian,1.78,conventional,fresh,
clam,vongole,vongole,meat,6.29,conventional,fresh,
cockle,malva,malva,meat,6.29,conventional,fresh,
mussel,cozze,cozze,meat,6.29,conventional,fresh,
oyster,ostriche,ostriche,meat,6.29,conventional,fresh,
scallop,capasanta,capasanta,meat,6.29,conventional,fresh,
egg,uovo,uovo,vegetarian,2.04,conventional,fresh,
egg white,bianco d'uovo,bianco d'uovo,vegetarian,2.04,conventional,fresh,
egg yolk,tuorlo d'uovo,tuorlo d'uovo,vegetarian,2.04,conventional,fresh,
sausage,salsiccia,salsiccia,meat,3.62,conventional,fresh,
hot dog,salsiccia,salsiccia,meat,3.77,conventional,fresh,
mushroom,fungo,fungo,vegan,1.31,conventional,fresh,
morel,spugnole,spugnole,vegan,1.31,conventional,fresh,
porcini,porcini,porcini,vegan,1.31,conventional,fresh,
portobello,portobello,portobello,vegan,1.31,conventional,fresh,
shiitake,shiitake,shiitake,vegan,1.31,conventional,fresh,
wild mushroom,funghi selvatici,funghi selvatici,vegan,1.31,conventional,fresh,
lamb's lettuce,lattuga d'agnello,lattuga d'agnello,vegan,0.27,conventional,fresh,
collard green,cavoli verza,cavoli verza,vegan,0.35,conventional,fresh,
kale,cavolo riccio,cavolo riccio,vegan,0.35,conventional,fresh,
cherry tomato,pomodori ciliegini,pomodori ciliegini,vegan,0.91,conventional,fresh,
kohlrabi,cavolo rapa,cavolo rapa,vegan,0.43,conventional,fresh,
acorn squash,zucca,zucca,vegan,0.21,conventional,fresh,
banana squash,zucca banana,zucca banana,vegan,0.21,conventional,fresh,
butternut squash,zucca burrosa,zucca burrosa,vegan,0.21,conventional,fresh,
delicata squash,zucca delicata,zucca delicata,vegan,0.21,conventional,fresh,
gem squash,zucca gemma,zucca gemma,vegan,0.21,conventional,fresh,
hubbard squash,zucca Hubbard,zucca Hubbard,vegan,0.21,conventional,fresh,
kabocha squash,zucca kabocha,zucca kabocha,vegan,0.21,conventional,fresh,
pumpkin,zucca,zucca,vegan,0.21,conventional,fresh,
spaghetti squash,spaghetti alla zucca,spaghetti alla zucca,vegan,0.21,conventional,fresh,
chives,erba cipollina,erba cipollina,vegan,0.21,conventional,fresh,
leek,porro,porro,vegan,0.21,conventional,fresh,
brussel sprouts,germoglio di bruxelles,germoglio di bruxelles,vegan,0.28,conventional,fresh,
arugula,rucola,rucola,vegan,0.27,conventional,fresh,
mixed salad,insalata mista,insalata mista,vegan,0.28,conventional,fresh,
salad,insalata,insalata,vegan,0.28,conventional,fresh,
sweet potato,patata dolce,patata dolce,vegan,0.41,conventional,fresh,
savoy,verza,verza,vegan,0.3,conventional,fresh,
wholegrain bread bun,panino di pane integrale,panino di pane integrale,vegetarian,0.6,conventional,fresh,
wheat bread bun,panino di pane di grano,panino di pane di grano,vegetarian,0.62,conventional,fresh,
bread bun,panino,panino,vegetarian,0.61,conventional,fresh,
bulgur,bulgur,bulgur,vegan,0.52,conventional,fresh,
couscous,couscous,couscous,vegan,0.44,conventional,fresh,
millet,miglio,miglio,vegan,0.52,conventional,fresh,
crispbread,pane croccante,pane croccante,vegan,0.53,conventional,fresh,
egg noodle,pasta all'uovo,pasta all'uovo,vegetarian,0.46,conventional,fresh,
lasagna noodle,tagliatelle di lasagne,tagliatelle di lasagne,vegan,0.46,conventional,fresh,
linguine,linguine,linguine,vegan,0.46,conventional,fresh,
pasta,pasta,pasta,vegan,0.46,conventional,fresh,
wholewheat noodle,tagliatelle integrali,tagliatelle integrali,vegan,0.44,conventional,fresh,
toast,toast,toast,vegetarian,0.48,conventional,fresh,
wholegrain toast,toast integrale,toast integrale,vegetarian,0.46,conventional,fresh,
wholegrain bread,pane integrale,pane integrale,vegetarian,0.59,conventional,fresh,
baguette,baguette,baguette,vegan,0.61,conventional,fresh,
wheat bread,pane bianco,pane bianco,vegetarian,0.61,conventional,fresh,
bread,pane,pane,vegetarian,0.61,conventional,fresh,
all purpose flour,farina multiuso,farina multiuso,vegan,0.34,conventional,fresh,
panko,panko,panko,vegan,0.34,conventional,fresh,
whole wheat flour,farina integrale,farina integrale,vegan,0.34,conventional,fresh,
flour,farina,farina,vegan,0.34,conventional,fresh,
walnut,noce,noce,vegan,0.95,conventional,fresh,
brown lentils,lenticchie marroni,lenticchie marroni,vegan,0.61,conventional,fresh,
green lentils,lenticchie verdi,lenticchie verdi,vegan,0.61,conventional,fresh,
lentils,lenticchie,lenticchie,vegan,0.61,conventional,fresh,
cream cheese,formaggio cremoso,formaggio cremoso,vegetarian,5.65,conventional,fresh,
philadelphia,philadelphia,philadelphia,vegetarian,5.65,conventional,fresh,
ricotta,ricotta,ricotta,vegetarian,5.65,conventional,fresh,
low fat curd cheese,formaggio cagliato magro,formaggio cagliato magro,vegetarian,2.52,conventional,fresh,
mozzarella,mozzarella,mozzarella,vegetarian,4.34,conventional,fresh,
curd cheese,formaggio cagliato,formaggio cagliato,vegetarian,3.4,conventional,fresh,
whipping cream,panna da montare,panna da montare,vegetarian,4.31,conventional,fresh,
schmand,schmand,schmand,vegetarian,3.66,conventional,fresh,
blackberry,more,more,vegan,0.69,conventional,fresh,
fig,fico,fico,vegan,0.89,conventional,fresh,
grapefruit,pompelmo,pompelmo,vegan,0.39,conventional,fresh,
blueberry,mirtilli,mirtilli,vegan,0.54,conventional,fresh,
raspberry,lamponi,lamponi,vegan,1.2,conventional,fresh,
cherry,ciliegie,ciliegie,vegan,0.22,conventional,fresh,
honeyberry,caprifoglio blu,caprifoglio blu,vegan,0.22,conventional,fresh,
jabuticaba,jabuticaba,jabuticaba,vegan,0.22,conventional,fresh,
surinam cherry,ciliegie surinam,ciliegie surinam,vegan,0.22,conventional,fresh,
mango,mango,mango,vegan,1.73,conventional,fresh,
passion fruit,frutto della passione,frutto della passione,vegan,2.3,conventional,fresh,
ackee,ackee,ackee,vegan,0.22,conventional,fresh,
damson,susina,susina,vegan,0.22,conventional,fresh,
java plum,jambul,jambul,vegan,0.22,conventional,fresh,
japanese plum,prugna giapponese,prugna giapponese,vegan,0.22,conventional,fresh,
gooseberry,uvaspina,uvaspina,vegan,0.69,conventional,fresh,
watermelon,anguria,anguria,vegan,0.35,conventional,fresh,
icing sugar,zucchero a velo,zucchero a velo,vegan,0.49,conventional,fresh,
vegetable broth,brodo vegetale,brodo vegetale,vegan,1.49,conventional,fresh,
honey,miele,miele,vegetarian,1.92,conventional,fresh,
chicken broth,brodo di pollo,brodo di pollo,meat,1.51,conventional,fresh,
coconut milk,latte di cocco,latte di cocco,vegan,0.54,conventional,fresh,
beef broth,brodo di carne,brodo di carne,meat,1.78,conventional,fresh,
pea veggie burger,hamburger vegetariano di piselli,hamburger vegetariano di piselli,vegetarian,1.8,conventional,fresh,
soy veggie burger,hamburger vegetariano di soia,hamburger vegetariano di soia,vegetarian,1.1,conventional,fresh,
peanut butter,burro di arachidi,burro di arachidi,vegetarian,2.0,conventional,fresh,
pastry,pasticceria,pasticceria,vegetarian,1.6,conventional,fresh,
puff pastry,sfoglia,sfoglia,vegetarian,1.6,conventional,fresh,
veggie nugget,nuggets vegetariani,nuggets vegetariani,vegetarian,1.3,conventional,fresh,
veggie patty,polpette vegetariane,polpette vegetariane,vegetarian,1.3,conventional,fresh,
gnocchi,gnocchi,gnocchi,vegetarian,0.6,conventional,fresh,
chicken nuggets,nuggets di pollo,nuggets di pollo,meat,3.3,conventional,fresh,
chicken cold cuts,salumi di pollo,salumi di pollo,meat,2.9,conventional,fresh,
coffee powder,caffè in polvere,caffè in polvere,vegan,5.6,conventional,fresh,
cocoa powder,polvere di cacao,polvere di cacao,vegan,5.0,conventional,fresh,
Emmentaler,Emmentaler,Emmentaler,vegetarian,6.0,conventional,fresh,
parmesan,parmigiano,parmigiano,vegetarian,6.3,conventional,fresh,
lupin flour,farina di lupino,farina di lupino,vegan,0.4,conventional,fresh,
spelt drink,bevanda al farro,bevanda al farro,vegan,0.3,conventional,fresh,
oat drink,bevanda all'avena,bevanda all'avena,vegan,0.3,conventional,fresh,
almond drink,bevanda alla mandorla,bevanda alla mandorla,vegan,0.3,conventional,fresh,
mineral water,acqua minerale,acqua minerale,vegan,0.28571429,conventional,fresh,
soy curd,yogurt di soia,yogurt di soia,vegan,0.7,conventional,fresh,
beef mince,carne macinata di manzo,carne macinata di manzo,meat,9.2,conventional,fresh,
apple juice,succo di mela,succo di mela,vegan,0.4,conventional,fresh,
orange juice,succo d'arancia,succo d'arancia,vegan,0.7,conventional,fresh,
chocolate,cioccolato,cioccolato,vegetarian,4.1,conventional,fresh,
dark chocolate,cioccolato fondente,cioccolato fondente,vegetarian,4.1,conventional,fresh,
milk chocolade,cioccolato la latte,cioccolato la latte,vegetarian,4.1,conventional,fresh,
white chocolate,cioccolato bianco,cioccolato bianco,vegetarian,4.1,conventional,fresh,
tempeh,tempeh,tempeh,vegetarian,0.7,conventional,fresh,
venison,cervo,cervo,meat,11.5,conventional,fresh,
vegan sausage,salsiccia vegana,salsiccia vegana,vegan,1.7,conventional,fresh,
Thuringian sausage,salsiccia di Turingia,salsiccia di Turingia,meat,2.9,conventional,fresh,
beef cold cuts,salumi di manzo,salumi di manzo,meat,7.9,conventional,fresh,
ham,prosciutto,prosciutto,meat,3.23,conventional,fresh,
bacon,pancetta,pancetta,meat,3.23,conventional,fresh,
cashew,anacardio,anacardio,vegan,4.79853157,conventional,fresh,
chestnut,castagne,castagne,vegan,2.80979155,conventional,fresh,
hazelnut,nocciole,nocciole,vegan,1.77688839,conventional,fresh,
pistachio,pistacchio,pistacchio,vegan,3.0648319,conventional,fresh,
artichoke,carciofo,carciofo,vegan,1.01155642,conventional,fresh,
Jerusalem artichoke,topinambur,topinambur,vegan,1.01155642,conventional,fresh,
chicory,cicoria,cicoria,vegan,0.59248494,conventional,fresh,
endive,indivia,indivia,vegan,0.59248494,conventional,fresh,
cheddar,cheddar,cheddar,vegetarian,15.1549862,conventional,fresh,
quinoa,quinoa,quinoa,vegan,0.65,conventional,fresh,
almond,mandorla,mandorla,vegan,2.25,conventional,fresh,
apple,mela,mela,vegan,0.437,conventional,fresh,
crab apple,mela selvatica,mela selvatica,vegan,0.437,conventional,fresh,
fuji apple,mela fuji,mela fuji,vegan,0.437,conventional,fresh,
apricot,albicocca,albicocca,vegan,0.314,conventional,fresh,
eggplant,melanzana,melanzana,vegan,4.59,conventional,fresh,
avocado,avocado,avocado,vegan,0.956,conventional,fresh,
banana,banana,banana,vegan,0.395,conventional,fresh,
barley,orzo,orzo,vegan,0.602,conventional,fresh,
pearl barley,orzo perlato,orzo perlato,vegan,0.602,conventional,fresh,
barley,orzo,orzo,vegan,0.363,organic,fresh,
barley,orzo,orzo,vegan,0.415,Swiss integrated production,fresh,
broccoli,broccoli,broccoli,vegan,0.53,conventional,fresh,
butter,burro,burro,vegetarian,8.49,conventional,fresh,
buttermilk,latticello,latticello,vegetarian,3.73,conventional,fresh,
red cabbage,cavolo rosso,cavolo rosso,vegan,0.415,conventional,fresh,
bok choy,bok choy,bok choy,vegan,0.407,conventional,fresh,
white cabbage,cavolo bianco,cavolo bianco,vegan,0.407,conventional,fresh,
baby carrot,carotina,carotina,vegan,0.265,conventional,fresh,
carrot,carota,carota,vegan,0.265,conventional,fresh,
beef,manzo,manzo,meat,14.9,conventional,fresh,
cauliflower,cavolfiore,cavolfiore,vegan,0.486,conventional,fresh,
celeriac,sedano rapa,sedano rapa,vegan,0.552,conventional,fresh,
celery,sedano,sedano,vegan,0.552,conventional,fresh,
cheese,formaggio,formaggio,vegetarian,14.9,conventional,fresh,
chicken,pollo,pollo,meat,2.48,conventional,fresh,
cocoa beans,fava di cacao,fava di cacao,vegan,19.7,conventional,fresh,
coconut oil,olio di cocco,olio di cocco,vegan,2.98,conventional,fresh,
coconut,cocco,cocco,vegan,0.912,conventional,fresh,
coffee,caffè,caffè,vegan,3.0,conventional,fresh,
coffee beans,chicchi di caffè,chicchi di caffè,vegan,7.75,conventional,fresh,
cottonseed oil,olio di semi di cotone,olio di semi di cotone,vegan,1.82,conventional,fresh,crude
cottonseed oil,olio di semi di cotone,olio di semi di cotone,vegan,2.05,conventional,fresh,refined
full cream milk,latte intero,latte intero,vegetarian,1.98,conventional,fresh,
milk,latte,latte,vegetarian,1.98,conventional,fresh,
half cream,crema,crema,vegetarian,2.99,conventional,fresh,
cream,crema,crema,vegetarian,2.99,conventional,fresh,
sour cream,panna acida,panna acida,vegetarian,2.99,conventional,fresh,
cucumber,cetriolo,cetriolo,vegan,3.38,conventional,fresh,
beans,fagioli,fagioli,vegan,0.711,organic,fresh,
black beans,fagiolo nero,fagiolo nero,vegan,0.711,organic,fresh,
borlotti beans,fagioli borlotti,fagioli borlotti,vegan,0.711,organic,fresh,
broad beans,fave,fave,vegan,0.711,organic,fresh,
fava beans,fave,fave,vegan,0.711,organic,fresh,
green beans,fagiolini,fagiolini,vegan,0.711,organic,fresh,
kidney beans,fagioli,fagioli,vegan,0.711,organic,fresh,
mung beans,fagioli mung,fagioli mung,vegan,0.711,conventional,fresh,
navy beans,fagioli blu,fagioli blu,vegan,0.711,conventional,fresh,
pinto beans,fagioli pinto,fagioli pinto,vegan,0.711,organic,fresh,
runner beans,fagiolini,fagiolini,vegan,0.711,organic,fresh,
beans,fagioli,fagioli,vegan,0.537,Swiss integrated production,fresh,
black beans,fagiolo nero,fagiolo nero,vegan,0.537,Swiss integrated production,fresh,
borlotti beans,fagioli borlotti,fagioli borlotti,vegan,0.537,Swiss integrated production,fresh,
broad beans,fave,fave,vegan,0.537,Swiss integrated production,fresh,
fava beans,fave,fave,vegan,0.537,Swiss integrated production,fresh,
green beans,fagiolini,fagiolini,vegan,0.537,Swiss integrated production,fresh,
kidney beans,fagioli,fagioli,vegan,0.537,Swiss integrated production,fresh,
mung beans,fagioli mung,fagioli mung,vegan,0.537,Swiss integrated production,fresh,
navy beans,fagioli blu,fagioli blu,vegan,0.537,Swiss integrated production,fresh,
pinto beans,fagioli pinto,fagioli pinto,vegan,0.537,Swiss integrated production,fresh,
runner beans,fagiolini,fagiolini,vegan,0.537,Swiss integrated production,fresh,
fennel,finocchio,finocchio,vegan,0.498,conventional,fresh,
fish oil,olio di pesce,olio di pesce,meat,1.2,conventional,fresh,
fish,pesce,pesce,meat,0.55,conventional,fresh,
barracuda,barracuda,barracuda,meat,0.55,conventional,fresh,
basa,basa,basa,meat,0.55,conventional,fresh,
bass,branzino,branzino,meat,0.55,conventional,fresh,
black cod,merluzzo nero,merluzzo nero,meat,0.55,conventional,fresh,
blowfish,pesce palla,pesce palla,meat,0.55,conventional,fresh,
brill,rombo,rombo,meat,0.55,conventional,fresh,
butter fish,cefalo,cefalo,meat,0.55,conventional,fresh,
catfish,pesce gatto,pesce gatto,meat,0.55,conventional,fresh,
cod,merluzzo,merluzzo,meat,0.55,conventional,fresh,
dorade,dorata,dorata,meat,0.55,conventional,fresh,
flounder,platessa,platessa,meat,0.55,conventional,fresh,
grouper,cernia,cernia,meat,0.55,conventional,fresh,
haddock,eglefino,eglefino,meat,0.55,conventional,fresh,
halibut,ippoglosso,ippoglosso,meat,0.55,conventional,fresh,
lingcod,lingcod,lingcod,meat,0.55,conventional,fresh,
monkfish,rana pescatrice,rana pescatrice,meat,0.55,conventional,fresh,
mullet,cefalo,cefalo,meat,0.55,conventional,fresh,
patagonian toothfish,merluzzo della Patagonia,merluzzo della Patagonia,meat,0.55,conventional,fresh,
perch,pesce persico,pesce persico,meat,0.55,conventional,fresh,
pike,luccio,luccio,meat,0.55,conventional,fresh,
pollock,merluzzo carbonaro,merluzzo carbonaro,meat,0.55,conventional,fresh,
salmon,salmone,salmone,meat,0.55,conventional,fresh,
sanddab,sanddab,sanddab,meat,0.55,conventional,fresh,
sea bass,spigola,spigola,meat,0.55,conventional,fresh,
shad,alosa,alosa,meat,0.55,conventional,fresh,
skate,razza,razza,meat,0.55,conventional,fresh,
sole,sogliola,sogliola,meat,0.55,conventional,fresh,
sturgeon,storione,storione,meat,0.55,conventional,fresh,
tilefish,tile gibboso,tile gibboso,meat,0.55,conventional,fresh,
turbot,rombo,rombo,meat,0.55,conventional,fresh,
whitebait,bianchetto,bianchetto,meat,0.55,conventional,fresh,
whitefish,coregono,coregono,meat,0.55,conventional,fresh,
whiting,merlano,merlano,meat,0.55,conventional,fresh,
anchovy,acciuga,acciuga,meat,0.599,conventional,fresh,
hake,nasello,nasello,meat,0.8,conventional,fresh,
tuna,tonno,tonno,meat,2.93,conventional,fresh,
bluefish,pesce azzurro,pesce azzurro,meat,2.93,conventional,fresh,
bombay duck,anatra Bombay,anatra Bombay,meat,2.93,conventional,fresh,
bream,orata,orata,meat,2.93,conventional,fresh,
dogfish,spinarolo,spinarolo,meat,2.93,conventional,fresh,
herring,aringa,aringa,meat,2.93,conventional,fresh,
john dory,pesce San Pietro,pesce San Pietro,meat,2.93,conventional,fresh,
mackerel,sgombro,sgombro,meat,2.93,conventional,fresh,
mahi mahi,mahi mahi,mahi mahi,meat,2.93,conventional,fresh,
orange roughy,pesce specchio atlantico,pesce specchio atlantico,meat,2.93,conventional,fresh,
pomfret,pomfret,pomfret,meat,2.93,conventional,fresh,
pompano,pompano,pompano,meat,2.93,conventional,fresh,
sardine,sardina,sardina,meat,2.93,conventional,fresh,
sprat,spratto,spratto,meat,2.93,conventional,fresh,
swordfish,pesce spada,pesce spada,meat,2.93,conventional,fresh,
grapes,uva,uva,vegan,0.333,conventional,fresh,
green asparagus,asparago verde,asparago verde,vegan,1.15,conventional,fresh,
bell pepper,peperone,peperone,vegan,2.62,conventional,fresh,
habanero,habanero,habanero,vegan,2.62,conventional,fresh,
jalapeno,jalapeno,jalapeno,vegan,2.62,conventional,fresh,
okra,gombo,gombo,vegan,2.62,conventional,fresh,
red chili,peperoncino rosso,peperoncino rosso,vegan,2.62,conventional,fresh,
yellow bell pepper,peperone giallo,peperone giallo,vegan,2.62,conventional,fresh,
iceberg lettuce,lattuga iceberg,lattuga iceberg,vegan,0.253,conventional,fresh,
kiwi,kiwi,kiwi,vegan,0.594,conventional,fresh,
lemon,limone,limone,vegan,0.409,conventional,fresh,
lemon juice,succo di limone,succo di limone,vegan,0.409,conventional,fresh,
lemon zest,scorza di limone,scorza di limone,vegan,0.409,conventional,fresh,
lime,lime,lime,vegan,0.409,conventional,fresh,
bibb lettuce,lattuga bibb,lattuga bibb,vegan,3.59,conventional,fresh,
lettuce,lattuga,lattuga,vegan,3.59,conventional,fresh,
linseed,semi di lino,semi di lino,vegan,1.17,conventional,fresh,
baby corn,mais baby,mais baby,vegan,0.56,conventional,fresh,
corn,mais,mais,vegan,0.56,conventional,fresh,
corn,mais,mais,vegan,0.528,organic,fresh,
corn,mais,mais,vegan,0.354,Swiss integrated production,fresh,
corn kernel,chicco di mais,chicco di mais,vegan,1.41,conventional,fresh,
corn kernel,chicco di mais,chicco di mais,vegan,1.52,organic,fresh,
corn kernel,chicco di mais,chicco di mais,vegan,1.03,Swiss integrated production,fresh,
cornstarch,amido di mais,amido di mais,vegan,0.928,conventional,fresh,
clementine,clementina,clementina,vegan,0.713,conventional,fresh,
mandarine,mandarino,mandarino,vegan,0.713,conventional,fresh,
tangerine,tangerino,tangerino,vegan,0.713,conventional,fresh,
bitter melon,melone amaro,melone amaro,vegan,0.226,conventional,fresh,
cantaloupe,cantalupo,cantalupo,vegan,0.226,conventional,fresh,
honeydew,melata,melata,vegan,0.226,conventional,fresh,
melon,melone,melone,vegan,0.226,conventional,fresh,
catnip,erba gatta,erba gatta,vegan,0.406,conventional,fresh,
mint,menta,menta,vegan,0.406,conventional,fresh,
peppermint,menta piperita,menta piperita,vegan,0.406,conventional,fresh,
spearmint,menta verde,menta verde,vegan,0.406,conventional,fresh,
oat,avena,avena,vegan,0.728,conventional,fresh,
green olives,olive verdi,olive verdi,vegan,0.438,conventional,fresh,
kalamata olives,olive di Kalamata,olive di Kalamata,vegan,0.438,conventional,fresh,
olives,olive,olive,vegan,0.438,conventional,fresh,
garlic,aglio,aglio,vegan,0.449,conventional,fresh,
green onion,cipolla verde,cipolla verde,vegan,0.449,conventional,fresh,
