en_key,lang_key,ref,type,co2,classification,attribute,variety
crispbread,Knäckebrot,Knäckebrot,vegan,0.53,conventional,fresh,
egg noodle,Eiernudel,Eiernudel,vegetarian,0.46,conventional,fresh,
lasagna noodle,Lasangeblätter,Lasangeblätter,vegan,0.46,conventional,fresh,
linguine,Linguine,Linguine,vegan,0.46,conventional,fresh,
pasta,Pasta,Pasta,vegan,0.46,conventional,fresh,
wholewheat noodle,Weizennudel,Weizennudel,vegan,0.44,conventional,fresh,
toast,Toast,Toast,vegetarian,0.48,conventional,fresh,
wholegrain toast,Vollkorntoast,Vollkorntoast,vegetarian,0.46,conventional,fresh,
wholegrain bread,Vollkornbrot,Vollkornbrot,vegetarian,0.59,conventional,fresh,
baguette,Baguette,Baguette,vegan,0.61,conventional,fresh,
wheat bread,Weissbrot,Weissbrot,vegetarian,0.61,conventional,fresh,
bread,Brot,Brot,vegetarian,0.61,conventional,fresh,
all purpose flour,Haushaltsmehl,Haushaltsmehl,vegan,0.34,conventional,fresh,
panko,Panko,Panko,vegan,0.34,conventional,fresh,
whole wheat flour,Weizen mehl,Weizen mehl,vegan,0.34,conventional,fresh,
flour,Mehl,Mehl,vegan,0.34,conventional,fresh,
walnut,Walnuss,Walnuss,vegan,0.95,conventional,fresh,
brown lentils,braune Linsen,braune Linsen,vegan,0.61,conventional,fresh,
green lentils,grüne Linsen,grüne Linsen,vegan,0.61,conventional,fresh,
lentils,Linsen,Linsen,vegan,0.61,conventional,fresh,
cream cheese,Frischkäse,Frischkäse,vegetarian,5.65,conventional,fresh,
philadelphia,Philadelphia,Philadelphia,vegetarian,5.65,conventional,fresh,
ricotta,Ricotta,Ricotta,vegetarian,5.65,conventional,fresh,
low fat curd cheese,Magerquark,Magerquark,vegetarian,2.52,conventional,fresh,
mozzarella,Mozzarella,Mozzarella,vegetarian,4.34,conventional,fresh,
curd cheese,Quark,Quark,vegetarian,3.4,conventional,fresh,
whipping cream,Schlagsahne,Schlagsahne,vegetarian,4.31,conventional,fresh,
schmand,Schmand,Schmand,vegetarian,3.66,conventional,fresh,
blackberry,Brombeere,Brombeere,vegan,0.69,conventional,fresh,
fig,Feige,Feige,vegan,0.89,conventional,fresh,
grapefruit,Grapefruit,Grapefruit,vegan,0.39,conventional,fresh,
blueberry,Heidelbeere,Heidelbeere,vegan,0.54,conventional,fresh,
raspberry,Himbeere,Himbeere,vegan,1.2,conventional,fresh,
cherry,Kirsche,Kirsche,vegan,0.22,conventional,fresh,
honeyberry,Honigbeere,Honigbeere,vegan,0.22,conventional,fresh,
jabuticaba,Baumstammkirsche,Baumstammkirsche,vegan,0.22,conventional,fresh,
surinam cherry,Surinamkirsche,Surinamkirsche,vegan,0.22,conventional,fresh,
mango,Mango,Mango,vegan,1.73,conventional,fresh,
passion fruit,Passionsfrucht,Passionsfrucht,vegan,2.3,conventional,fresh,
ackee,Akipflaume,Akipflaume,vegan,0.22,conventional,fresh,
damson,Zwetschge,Zwetschge,vegan,0.22,conventional,fresh,
java plum,Jambolana,Jambolana,vegan,0.22,conventional,fresh,
japanese plum,japanische Pflaume,japanische Pflaume,vegan,0.22,conventional,fresh,
gooseberry,Stachelbeere,Stachelbeere,vegan,0.69,conventional,fresh,
watermelon,Wassermelone,Wassermelone,vegan,0.35,conventional,fresh,
icing sugar,Puderzucker,Puderzucker,vegan,0.49,conventional,fresh,
vegetable broth,Gemüsebrühe,Gemüsebrühe,vegan,1.49,conventional,fresh,
honey,Honig,Honig,vegetarian,1.92,conventional,fresh,
chicken broth,Hühnerbrühe,Hühnerbrühe,meat,1.51,conventional,fresh,
coconut milk,Kokosnussmilch,Kokosnussmilch,vegan,0.54,conventional,fresh,
beef broth,Fleischbrühe,Fleischbrühe,meat,1.78,conventional,fresh,
pea veggie burger,Veggieburger auf Erbsenbasis,Veggieburger auf Erbsenbasis,vegetarian,1.8,conventional,fresh,
soy veggie burger,Veggieburger auf Sojabasis,Veggieburger auf Sojabasis,vegetarian,1.1,conventional,fresh,
peanut butter,Erdnussbutter,Erdnussbutter,vegetarian,2.0,conventional,fresh,
pastry,Feinbackwaren,Feinbackwaren,vegetarian,1.6,conventional,fresh,
puff pastry,Blätterteig,Blätterteig,vegetarian,1.6,conventional,fresh,
veggie nugget,Veggie nugget,Veggie nugget,vegetarian,1.3,conventional,fresh,
veggie patty,Veggie patty,Veggie patty,vegetarian,1.3,conventional,fresh,
gnocchi,Gnocchi,Gnocchi,vegetarian,0.6,conventional,fresh,
chicken nuggets,Chickennuggets,Chickennuggets,meat,3.3,conventional,fresh,
chicken cold cuts,Pouletaufschnitt,Pouletaufschnitt,meat,2.9,conventional,fresh,
coffee powder,Kaffeepulver,Kaffeepulver,vegan,5.6,conventional,fresh,
cocoa powder,Kakaopulver,Kakaopulver,vegan,5.0,conventional,fresh,
Emmentaler,Emmentaler,Emmentaler,vegetarian,6.0,conventional,fresh,
parmesan,Parmesan,Parmesan,vegetarian,6.3,conventional,fresh,
lupin flour,Lupinenmehl,Lupinenmehl,vegan,0.4,conventional,fresh,
spelt drink,Dinkeldrink,Dinkeldrink,vegan,0.3,conventional,fresh,
oat drink,Haferdrink,Haferdrink,vegan,0.3,conventional,fresh,
almond drink,Mandeldrink,Mandeldrink,vegan,0.3,conventional,fresh,
mineral water,Mineralwasser,Mineralwasser,vegan,0.28571429,conventional,fresh,
soy curd,Sojaquark,Sojaquark,vegan,0.7,conventional,fresh,
beef mince,Rinder Hackfleisch,Rinder Hackfleisch,meat,9.2,conventional,fresh,
apple juice,Apfelsaft,Apfelsaft,vegan,0.4,conventional,fresh,
orange juice,Orangensaft,Orangensaft,vegan,0.7,conventional,fresh,
chocolate,Schokolade,Schokolade,vegetarian,4.1,conventional,fresh,
dark chocolate,Bitterschokolade,Bitterschokolade,vegetarian,4.1,conventional,fresh,
milk chocolade,Vollmilchschokolade,Vollmilchschokolade,vegetarian,4.1,conventional,fresh,
white chocolate,weisse Schokolade,weisse Schokolade,vegetarian,4.1,conventional,fresh,
tempeh,Tempeh,Tempeh,vegetarian,0.7,conventional,fresh,
venison,Hirsch,Hirsch,meat,11.5,conventional,fresh,
vegan sausage,vegane Wurst,vegane Wurst,vegan,1.7,conventional,fresh,
Thuringian sausage,Thüringer Rostbratwurst,Thüringer Rostbratwurst,meat,2.9,conventional,fresh,
beef cold cuts,Rinderaufschnitt,Rinderaufschnitt,meat,7.9,conventional,fresh,
ham,Schinken,Schinken,meat,3.23,conventional,fresh,
bacon,Speck,Speck,meat,3.23,conventional,fresh,
cashew,Cashew,Cashew,vegan,4.79853157,conventional,fresh,
chestnut,Kastanie,Kastanie,vegan,2.80979155,conventional,fresh,
hazelnut,Haselnuss,Haselnuss,vegan,1.77688839,conventional,fresh,
pistachio,Pistazie,Pistazie,vegan,3.0648319,conventional,fresh,
artichoke,Artischocke,Artischocke,vegan,1.01155642,conventional,fresh,
Jerusalem artichoke,Jerusalem Artischocke,Jerusalem Artischocke,vegan,1.01155642,conventional,fresh,
chicory,Chicorée,Chicorée,vegan,0.59248494,conventional,fresh,
endive,Endivie,Endivie,vegan,0.59248494,conventional,fresh,
cheddar,Cheddar,Cheddar,vegetarian,15.1549862,conventional,fresh,
quinoa,Quinoa,Quinoa,vegan,0.65,conventional,fresh,
almond,Mandel,Mandel,vegan,2.25,conventional,fresh,
apple,Apfel,Apfel,vegan,0.437,conventional,fresh,
crab apple,Holzapfel,Holzapfel,vegan,0.437,conventional,fresh,
fuji apple,Fuji Apfel,Fuji Apfel,vegan,0.437,conventional,fresh,
apricot,Aprikose,Aprikose,vegan,0.314,conventional,fresh,
eggplant,Aubergine,Aubergine,vegan,4.59,conventional,fresh,
avocado,Avocado,Avocado,vegan,0.956,conventional,fresh,
banana,Banane,Banane,vegan,0.395,conventional,fresh,
barley,Gerste,Gerste,vegan,0.602,conventional,fresh,
pearl barley,Perlgraupen,Perlgraupen,vegan,0.602,conventional,fresh,
barley,Gerste,Gerste,vegan,0.363,organic,fresh,
barley,Gerste,Gerste,vegan,0.415,Swiss integrated production,fresh,
broccoli,Brokkoli,Brokkoli,vegan,0.53,conventional,fresh,
butter,Butter,Butter,vegetarian,8.49,conventional,fresh,
buttermilk,Buttermilch,Buttermilch,vegetarian,3.73,conventional,fresh,
red cabbage,Rotkohl,Rotkohl,vegan,0.415,conventional,fresh,
bok choy,chinesischer Senfkohl,chinesischer Senfkohl,vegan,0.407,conventional,fresh,
white cabbage,Weisskohl,Weisskohl,vegan,0.407,conventional,fresh,
baby carrot,Babykarotte,Babykarotte,vegan,0.265,conventional,fresh,
carrot,Karotte,Karotte,vegan,0.265,conventional,fresh,
beef,Rind,Rind,meat,14.9,conventional,fresh,
cauliflower,Blumenkohl,Blumenkohl,vegan,0.486,conventional,fresh,
celeriac,Knollensellerie,Knollensellerie,vegan,0.552,conventional,fresh,
celery,Sellerie,Sellerie,vegan,0.552,conventional,fresh,
cheese,Käse,Käse,vegetarian,14.9,conventional,fresh,
chicken,Poulet,Poulet,meat,2.48,conventional,fresh,
cocoa beans,Kakaobohnen,Kakaobohnen,vegan,19.7,conventional,fresh,
coconut oil,Kokosnussöl,Kokosnussöl,vegan,2.98,conventional,fresh,
coconut,Kokosnuss,Kokosnuss,vegan,0.912,conventional,fresh,
coffee,Kaffee,Kaffee,vegan,3.0,conventional,fresh,
coffee beans,Kaffebohnen,Kaffebohnen,vegan,7.75,conventional,fresh,
cottonseed oil,Baumwollsamenöl,Baumwollsamenöl,vegan,1.82,conventional,fresh,crude
cottonseed oil,Baumwollsamenöl,Baumwollsamenöl,vegan,2.05,conventional,fresh,refined
full cream milk,Vollmilch,Vollmilch,vegetarian,1.98,conventional,fresh,
milk,Milch,Milch,vegetarian,1.98,conventional,fresh,
half cream,Halbrahm,Halbrahm,vegetarian,2.99,conventional,fresh,
cream,Rahm,Rahm,vegetarian,2.99,conventional,fresh,
sour cream,Sauerrahm,Sauerrahm,vegetarian,2.99,conventional,fresh,
cucumber,Gurke,Gurke,vegan,3.38,conventional,fresh,
beans,Bohnen,Bohnen,vegan,0.711,organic,fresh,
black beans,schwarze Bohnen,schwarze Bohnen,vegan,0.711,organic,fresh,
borlotti beans,Borlotti Bohnen,Borlotti Bohnen,vegan,0.711,organic,fresh,
broad beans,Saubohnen,Saubohnen,vegan,0.711,organic,fresh,
fava beans,Ackerbohnen,Ackerbohnen,vegan,0.711,organic,fresh,
green beans,grüne Bohnen,grüne Bohnen,vegan,0.711,organic,fresh,
kidney beans,Kidneybohnen,Kidneybohnen,vegan,0.711,organic,fresh,
mung beans,Mungobohnen,Mungobohnen,vegan,0.711,conventional,fresh,
navy beans,weisse Bohnen,weisse Bohnen,vegan,0.711,conventional,fresh,
pinto beans,Pintobohnen,Pintobohnen,vegan,0.711,organic,fresh,
runner beans,Stangenbohnen,Stangenbohnen,vegan,0.711,organic,fresh,
beans,Bohnen,Bohnen,vegan,0.537,Swiss integrated production,fresh,
black beans,schwarze Bohnen,schwarze Bohnen,vegan,0.537,Swiss integrated production,fresh,
borlotti beans,Borlotti Bohnen,Borlotti Bohnen,vegan,0.537,Swiss integrated production,fresh,
broad beans,Saubohnen,Saubohnen,vegan,0.537,Swiss integrated production,fresh,
fava beans,Ackerbohnen,Ackerbohnen,vegan,0.537,Swiss integrated production,fresh,
green beans,grüne Bohnen,grüne Bohnen,vegan,0.537,Swiss integrated production,fresh,
kidney beans,Kidneybohnen,Kidneybohnen,vegan,0.537,Swiss integrated production,fresh,
mung beans,Mungobohnen,Mungobohnen,vegan,0.537,Swiss integrated production,fresh,
navy beans,weisse Bohnen,weisse Bohnen,vegan,0.537,Swiss integrated production,fresh,
pinto beans,Pintobohnen,Pintobohnen,vegan,0.537,Swiss integrated production,fresh,
runner beans,Stangenbohnen,Stangenbohnen,vegan,0.537,Swiss integrated production,fresh,
fennel,Fenchel,Fenchel,vegan,0.498,conventional,fresh,
fish oil,Fischöl,Fischöl,meat,1.2,conventional,fresh,
fish,Fisch,Fisch,meat,0.55,conventional,fresh,
barracuda,Pfeilhecht,Pfeilhecht,meat,0.55,conventional,fresh,
basa,Pangasius,Pangasius,meat,0.55,conventional,fresh,
bass,Barsch,Barsch,meat,0.55,conventional,fresh,
black cod,Kohlenfisch,Kohlenfisch,meat,0.55,conventional,fresh,
blowfish,Kugelfisch,Kugelfisch,meat,0.55,conventional,fresh,
brill,Glattbutt,Glattbutt,meat,0.55,conventional,fresh,
butter fish,Butterfisch,Butterfisch,meat,0.55,conventional,fresh,
catfish,Wels,Wels,meat,0.55,conventional,fresh,
cod,Dorsch,Dorsch,meat,0.55,conventional,fresh,
dorade,Goldbrasse,Goldbrasse,meat,0.55,conventional,fresh,
flounder,Flunder,Flunder,meat,0.55,conventional,fresh,
grouper,Zackenbarsch,Zackenbarsch,meat,0.55,conventional,fresh,
haddock,Schellfisch,Schellfisch,meat,0.55,conventional,fresh,
halibut,Heilbutt,Heilbutt,meat,0.55,conventional,fresh,
lingcod,Lengdorsch,Lengdorsch,meat,0.55,conventional,fresh,
monkfish,Seeteufel,Seeteufel,meat,0.55,conventional,fresh,
mullet,Meeräsche,Meeräsche,meat,0.55,conventional,fresh,
patagonian toothfish,patagonischer Seehecht,patagonischer Seehecht,meat,0.55,conventional,fresh,
perch,Barsch,Barsch,meat,0.55,conventional,fresh,
pike,Hecht,Hecht,meat,0.55,conventional,fresh,
pollock,Seelachs,Seelachs,meat,0.55,conventional,fresh,
salmon,Lachs,Lachs,meat,0.55,conventional,fresh,
sanddab,Sanddab,Sanddab,meat,0.55,conventional,fresh,
sea bass,Seebarsch,Seebarsch,meat,0.55,conventional,fresh,
shad,Maifisch,Maifisch,meat,0.55,conventional,fresh,
skate,Rochen,Rochen,meat,0.55,conventional,fresh,
sole,Seezunge,Seezunge,meat,0.55,conventional,fresh,
sturgeon,Störe,Störe,meat,0.55,conventional,fresh,
tilefish,Torpedobarsch,Torpedobarsch,meat,0.55,conventional,fresh,
turbot,Steinbutt,Steinbutt,meat,0.55,conventional,fresh,
whitebait,Whitebait,Whitebait,meat,0.55,conventional,fresh,
whitefish,Felchen,Felchen,meat,0.55,conventional,fresh,
whiting,Wittling,Wittling,meat,0.55,conventional,fresh,
anchovy,Sardelle,Sardelle,meat,0.599,conventional,fresh,
hake,Seehecht,Seehecht,meat,0.8,conventional,fresh,
tuna,Thunfisch,Thunfisch,meat,2.93,conventional,fresh,
bluefish,Blaubarsch,Blaubarsch,meat,2.93,conventional,fresh,
bombay duck,Bombay Duck,Bombay Duck,meat,2.93,conventional,fresh,
bream,Brasse,Brasse,meat,2.93,conventional,fresh,
dogfish,Hundshai,Hundshai,meat,2.93,conventional,fresh,
herring,Hering,Hering,meat,2.93,conventional,fresh,
john dory,Petersfisch,Petersfisch,meat,2.93,conventional,fresh,
mackerel,Makrele,Makrele,meat,2.93,conventional,fresh,
mahi mahi,gemeine Goldmakrele,gemeine Goldmakrele,meat,2.93,conventional,fresh,
orange roughy,Kaiserbarsch,Kaiserbarsch,meat,2.93,conventional,fresh,
pomfret,Seebrasse,Seebrasse,meat,2.93,conventional,fresh,
pompano,Stachelmakrele,Stachelmakrele,meat,2.93,conventional,fresh,
sardine,Sardine,Sardine,meat,2.93,conventional,fresh,
sprat,Sprotte,Sprotte,meat,2.93,conventional,fresh,
swordfish,Schwertfisch,Schwertfisch,meat,2.93,conventional,fresh,
grapes,Trauben,Trauben,vegan,0.333,conventional,fresh,
green asparagus,grüner Spargel,grüner Spargel,vegan,1.15,conventional,fresh,
bell pepper,Peperoni,Peperoni,vegan,2.62,conventional,fresh,
habanero,Habanero,Habanero,vegan,2.62,conventional,fresh,
jalapeno,Jalapeno,Jalapeno,vegan,2.62,conventional,fresh,
okra,Okraschote,Okraschote,vegan,2.62,conventional,fresh,
red chili,Chili,Chili,vegan,2.62,conventional,fresh,
yellow bell pepper,gelbe Peperoni,gelbe Peperoni,vegan,2.62,conventional,fresh,
iceberg lettuce,Eisbergsalat,Eisbergsalat,vegan,0.253,conventional,fresh,
kiwi,Kiwi,Kiwi,vegan,0.594,conventional,fresh,
lemon,Zitrone,Zitrone,vegan,0.409,conventional,fresh,
lemon juice,Zitronensaft,Zitronensaft,vegan,0.409,conventional,fresh,
lemon zest,Zitronenschale,Zitronenschale,vegan,0.409,conventional,fresh,
lime,Limette,Limette,vegan,0.409,conventional,fresh,
bibb lettuce,Bibb Kopfsalat,Bibb Kopfsalat,vegan,3.59,conventional,fresh,
lettuce,Kopfsalat,Kopfsalat,vegan,3.59,conventional,fresh,
